item,"节目名称",channel,"收看人数","收看人次","收看时长（小时）","户均访问时长（分钟）","次均访问时长（分钟）","户均访问次数"
263351,"爱情悠悠药草香",电视剧,2829,40555,"18111.04","384.12","26.79","14.34"
124591,"刺客联盟",海外电影,2803,4959,"2413.30","51.66","29.20","1.77"
191981,"海军陆战队员3",海外电影,2799,3957,"2482.97","53.23","37.65","1.41"
331659,"卑鄙的我2之萌宠记",少儿,2790,5507,"388.29","8.35","4.23","1.97"
160400,"宠物小精灵",少儿,2788,48562,"9027.58","194.28","11.15","17.42"
182504,"金泫雅张贤胜《Trouble Maker》",音乐,2788,5406,"323.54","6.96","3.59","1.94"
267223,"猎杀本拉登",海外电影,2774,3965,"2337.46","50.56","35.37","1.43"
272780,"钢铁苍穹",海外电影,2769,3857,"2270.40","49.20","35.32","1.39"
281902,"吴莫愁《我相信》",音乐,2765,3777,"196.67","4.27","3.12","1.37"
272160,"朵拉美人鱼王国探险",少儿,2764,7752,"2980.26","64.69","23.07","2.80"
220066,"老米家的婚事",电视剧,2758,37375,"14143.40","307.69","22.71","13.55"
188529,"巴啦啦小魔仙大电影",少儿,2757,7515,"3571.16","77.72","28.51","2.73"
238216,"羊羊快乐的一年",少儿,2755,25457,"3856.07","83.98","9.09","9.24"
341131,"快乐大本营之女神高圆圆遭逼婚",娱乐综艺,2747,4118,"2479.18","54.15","36.12","1.50"
144805,"王者之剑 3D",海外电影,2709,4159,"1484.14","32.87","21.41","1.54"
93341,"蜡笔小新第3部",少儿,2703,100032,"9437.73","209.49","5.66","37.01"
68407,"双人床条约",华语电影,2702,4418,"1593.19","35.38","21.64","1.64"
171953,"非常完美",华语电影,2698,3698,"2058.60","45.78","33.40","1.37"
265220,"死人的复仇",海外电影,2698,3986,"2176.82","48.41","32.77","1.48"
20345,"特工008",海外电影,2695,3946,"1577.46","35.12","23.99","1.46"
227471,"Sistar《Alone》",音乐,2692,4777,"230.11","5.13","2.89","1.77"
326784,"几宗罪之性与罪",华语电影,2685,4329,"1848.00","41.30","25.61","1.61"
208994,"儿童歌曲",少儿,2684,72260,"2974.98","66.50","2.47","26.92"
94511,"十万个冷笑话",少儿,2679,22344,"1559.41","34.93","4.19","8.34"
268339,"《狄仁杰之神都龙王》智勇萌三人组“亦敌亦友亦恋人”",NULL,2677,3445,"168.94","3.79","2.94","1.29"
197288,"两个爸爸",电视剧,2668,36201,"13168.89","296.15","21.83","13.57"
283077,"《极品飞车》电影版预告首发 豪车竞技极速狂飙",NULL,2661,3325,"95.68","2.16","1.73","1.25"
263400,"兔小贝儿歌",少儿,2632,142139,"4848.18","110.52","2.05","54.00"
19147,"奋斗",华语电影,2630,4246,"2105.51","48.03","29.75","1.61"
279091,"天台爱情",华语电影,2626,3931,"2639.32","60.30","40.28","1.50"
261605,"校花诡异事件",华语电影,2622,4199,"2864.49","65.55","40.93","1.60"
110659,"芭比之梦想豪宅",少儿,2612,53489,"2876.13","66.07","3.23","20.48"
287730,"《特殊身份》曝终极预告 众角色浮出水面",华语电影,2607,3602,"94.37","2.17","1.57","1.38"
124627,"爆笑角斗士",华语电影,2599,3782,"2339.07","54.00","37.11","1.46"
208031,"在一起",华语电影,2596,4111,"2788.40","64.45","40.70","1.58"
275963,"世贸中心",海外电影,2589,3447,"1530.40","35.47","26.64","1.33"
62845,"芭比之公主学校",少儿,2571,15168,"4213.97","98.34","16.67","5.90"
186988,"未来战警",海外电影,2567,3577,"1878.75","43.91","31.51","1.39"
100397,"托马斯和他的朋友们",少儿,2564,35009,"3183.52","74.50","5.46","13.65"
124532,"特工绍特",海外电影,2553,4574,"2673.29","62.83","35.07","1.79"
262461,"寂静岭2",海外电影,2548,3785,"1975.18","46.51","31.31","1.49"
18882,"万有引力",华语电影,2547,3958,"1967.27","46.34","29.82","1.55"
124465,"笔仙",华语电影,2537,3797,"1762.38","41.68","27.85","1.50"
219084,"四戒",华语电影,2530,3946,"2841.65","67.39","43.21","1.56"
259893,"冰河世纪",少儿,2525,4880,"2364.98","56.20","29.08","1.93"
150958,"狂蟒之灾4:血之踪迹",海外电影,2514,3551,"1994.00","47.59","33.69","1.41"
254986,"《环太平洋》14分钟独家重磅花絮",海外电影,2514,3333,"470.69","11.23","8.47","1.33"
264295,"艳遇",华语电影,2512,3702,"1113.74","26.60","18.05","1.47"
147936,"夺宝联盟",海外电影,2511,3836,"2373.55","56.72","37.13","1.53"
336424,"《西游记之大闹天宫》30秒预告片",华语电影,2510,3197,"44.37","1.06","0.83","1.27"
300972,"好声音2珍藏版 一起追过的歌曲",NULL,2508,3424,"1262.24","30.20","22.12","1.37"
262670,"赤警威龙",海外电影,2497,3680,"2257.32","54.24","36.80","1.47"
277607,"王菲发微博宣布离婚 李亚鹏：女儿归我",娱乐综艺,2489,3024,"130.32","3.14","2.59","1.21"
156276,"钢铁侠2",海外电影,2480,4147,"2514.49","60.83","36.38","1.67"
254210,"巧虎来啦",少儿,2460,19152,"3922.41","95.67","12.29","7.79"
334872,"金玉满堂",电视剧,2455,25045,"10975.26","268.23","26.29","10.20"
279546,"蔡依林《旅程》",音乐,2454,3367,"163.68","4.00","2.92","1.37"
222268,"石器时代之百万大侦探",华语电影,2451,3497,"2275.81","55.71","39.05","1.43"
276175,"女人进城",电视剧,2451,29386,"12808.93","313.56","26.15","11.99"
334870,"诸神之锤",海外电影,2443,3134,"1675.54","41.15","32.08","1.28"
229685,"我们都是坏孩子",华语电影,2430,5704,"2775.69","68.54","29.20","2.35"
274489,"极速秒杀",海外电影,2429,3472,"1852.23","45.75","32.01","1.43"
216207,"孤岛惊魂2",华语电影,2424,3566,"1619.82","40.09","27.25","1.47"
331665,"卑鄙的我2之惊魂记",少儿,2415,4014,"247.47","6.15","3.70","1.66"
276212,"苹果iPhone5s官方介绍",生活纪实,2409,3381,"172.57","4.30","3.06","1.40"
272290,"老公的春天",电视剧,2407,23582,"10575.18","263.61","26.91","9.80"
275741,"Crayon Pop《Bar Bar Bar》",音乐,2398,4395,"206.48","5.17","2.82","1.83"
331898,"iPad Air官方发布视频",生活纪实,2397,2860,"164.18","4.11","3.44","1.19"
283016,"李某某等五人强奸案一审宣判",生活纪实,2394,3038,"144.95","3.63","2.86","1.27"
19355,"娜娜的玫瑰战争",华语电影,2390,3884,"2340.63","58.76","36.16","1.63"
64259,"开心闯龙年",少儿,2389,6768,"3625.59","91.06","32.14","2.83"
252863,"背水一战",海外电影,2388,3699,"2772.36","69.66","44.97","1.55"
208030,"危情营救",华语电影,2376,3933,"2457.05","62.05","37.48","1.66"
80926,"开心大冒险",少儿,2375,27762,"3635.00","91.83","7.86","11.69"
128837,"汪峰2010北京首体演唱会",音乐,2375,3359,"1399.81","35.36","25.00","1.41"
160080,"特种部队",海外电影,2373,3712,"2378.46","60.14","38.44","1.56"
209884,"疯狂万圣夜",海外电影,2371,3062,"1424.90","36.06","27.92","1.29"
261802,"情逆三世缘",电视剧,2368,24151,"10854.52","275.03","26.97","10.20"
117045,"搞定岳父大人",华语电影,2366,3633,"2919.94","74.05","48.22","1.54"
47754,"爱情公寓",电视剧,2361,20016,"6041.33","153.53","18.11","8.48"
96535,"PSY《Gangnam Style》",音乐,2359,9971,"599.91","15.26","3.61","4.23"
230318,"战雷",电视剧,2359,23636,"8917.07","226.80","22.64","10.02"
231146,"超人归来",海外电影,2345,3507,"2164.17","55.37","37.03","1.50"
227639,"神勇奶爸",海外电影,2344,3629,"2167.44","55.48","35.84","1.55"
245082,"杀戒",华语电影,2332,3341,"2367.97","60.93","42.53","1.43"
44748,"铠甲勇士",少儿,2324,29870,"4847.99","125.16","9.74","12.85"
225253,"电梯惊魂",华语电影,2324,3784,"1936.67","50.00","30.71","1.63"
100814,2012,海外电影,2322,4762,"2401.49","62.05","30.26","2.05"
236740,"《小时代》特辑",NULL,2319,3498,"644.10","16.66","11.05","1.51"
247965,"《模特魅影》曝预告",NULL,2317,3519,"123.58","3.20","2.11","1.52"
330039,"惊天换日",海外电影,2315,3105,"2576.75","66.78","49.79","1.34"
279247,"末世殖民地",海外电影,2312,3292,"2057.49","53.40","37.50","1.42"
184203,"快乐大本营之快乐到家",华语电影,2311,3624,"2235.02","58.03","37.00","1.57"
62846,"芭比仙子的秘密",少儿,2305,14386,"4045.51","105.31","16.87","6.24"
278455,"武战道",少儿,2303,18035,"3512.21","91.50","11.68","7.83"
44417,"乐高幻影忍者",少儿,2300,36383,"7641.21","199.34","12.60","15.82"
67461,"白蛇传说",华语电影,2299,3737,"2318.47","60.51","37.22","1.63"
107494,"苏乞儿",华语电影,2295,3568,"2353.09","61.52","39.57","1.55"
46622,"西游记",电视剧,2294,10849,"2855.45","74.68","15.79","4.73"
288512,"T-ara《Number 9》",音乐,2294,3877,"220.81","5.78","3.42","1.69"
330320,"天天向上",娱乐综艺,2293,3132,"2175.93","56.94","41.68","1.37"
107496,"武林外传",华语电影,2291,3199,"1813.16","47.49","34.01","1.40"
172466,"全民超人汉考克",海外电影,2288,3853,"2421.11","63.49","37.70","1.68"
70036,"第九区",海外电影,2286,3470,"1632.88","42.86","28.23","1.52"
143047,"名侦探柯南（下部）",少儿,2269,27517,"5649.93","149.40","12.32","12.13"
176866,"Sistar19《因为从有到无》",音乐,2265,3680,"178.93","4.74","2.92","1.62"
258942,"《我爱灰太狼2》预告",少儿,2258,4528,"112.46","2.99","1.49","2.01"
272077,"BoA《The Shadow》",音乐,2254,3403,"194.45","5.18","3.43","1.51"
87672,"嫁个100分男人",华语电影,2245,3695,"2399.25","64.12","38.96","1.65"
277033,"干掉客户",华语电影,2244,2879,"1055.33","28.22","21.99","1.28"
340025,"惊天危机",海外电影,2244,3197,"2565.23","68.59","48.14","1.42"
107393,"决战刹马镇",华语电影,2240,3086,"1533.04","41.06","29.81","1.38"
334666,"神偷奶爸2 3D国语",NULL,2240,3241,"1121.27","30.03","20.76","1.45"
326916,"激战运钞车",海外电影,2236,2919,"1770.22","47.50","36.39","1.31"
187452,"白夜行",海外电影,2232,3794,"1434.29","38.56","22.68","1.70"
68409,"冰川时代4 3D预告片",少儿,2226,3545,"131.04","3.53","2.22","1.59"
64260,"龙门飞甲",华语电影,2221,6245,"974.78","26.33","9.37","2.81"
197228,"青春荷尔蒙",华语电影,2220,3759,"1701.66","45.99","27.16","1.69"
96129,"金刚",海外电影,2205,3959,"2594.59","70.60","39.32","1.80"
203708,"PSY《Gentleman》",音乐,2200,7818,"464.37","12.66","3.56","3.55"
106335,"巧虎幼幼版",少儿,2191,180508,"7313.35","200.27","2.43","82.39"
108294,"PSY《哥哥正是我的style》",音乐,2189,6340,"325.23","8.91","3.08","2.90"
279233,"狂暴野人",海外电影,2188,2903,"1115.24","30.58","23.05","1.33"
161850,"床上关系",华语电影,2184,3169,"1013.22","27.84","19.18","1.45"
81878,"孤岛惊魂",华语电影,2183,3301,"1714.28","47.12","31.16","1.51"
262975,"神偷艳贼",海外电影,2179,2894,"1167.68","32.15","24.21","1.33"
188532,"洛克王国:圣龙的心愿",少儿,2169,5485,"2385.33","65.98","26.09","2.53"
278336,"谁是真英雄",电视剧,2168,21437,"9414.64","260.55","26.35","9.89"
260987,"Sistar《So Cool》",音乐,2163,3598,"163.29","4.53","2.72","1.66"
279315,"绝命派对",华语电影,2163,3436,"1807.73","50.14","31.57","1.59"
227249,"猛侠",海外电影,2158,3176,"1577.08","43.85","29.79","1.47"
44445,"巴啦啦小魔仙",少儿,2157,24666,"5081.16","141.34","12.36","11.44"
102509,"赛尔号-雷伊与迈尔斯",少儿,2155,4664,"1965.17","54.71","25.28","2.16"
187532,"爱谁谁",华语电影,2150,2865,"1893.16","52.83","39.65","1.33"
109045,"大兵小将",华语电影,2148,3032,"1842.32","51.46","36.46","1.41"
226065,"少女时代《Genie》日文版",音乐,2148,3565,"196.28","5.48","3.30","1.66"
121049,"致命伴旅",海外电影,2146,3391,"1993.14","55.73","35.27","1.58"
93342,"哆啦A梦第2部",少儿,2134,55081,"6390.64","179.68","6.96","25.81"
92652,"龙门飞甲 3D预告片",华语电影,2133,3835,"85.79","2.41","1.34","1.80"
193263,"死囚大逃杀",海外电影,2128,3017,"2157.42","60.83","42.91","1.42"
102427,"憨豆的黄金周",海外电影,2124,3914,"1745.86","49.32","26.76","1.84"
94571,"青春期3 完整版",华语电影,2112,3712,"1569.97","44.60","25.38","1.76"
333072,"薄熙来二审宣判现场",生活纪实,2109,2506,"127.09","3.62","3.04","1.19"
228138,"《富春山居图》特辑",华语电影,2105,2809,"282.54","8.05","6.04","1.33"
124662,"变形金刚2:卷土重来",海外电影,2101,3778,"2279.08","65.09","36.19","1.80"
44564,"小鸡不好惹",少儿,2099,24396,"3388.55","96.86","8.33","11.62"
237348,"4Minute《喜欢水吗》",音乐,2098,3173,"155.30","4.44","2.94","1.51"
267767,"王立军出庭指证薄熙来滥用职权现场",生活纪实,2097,2901,"121.77","3.48","2.52","1.38"
279072,"吸血鬼大电影",海外电影,2094,2935,"1479.73","42.40","30.25","1.40"
227656,"杀手乔",海外电影,2087,2960,"1518.99","43.67","30.79","1.42"
246000,"中国好声音第2季第1期 姚贝娜《也许明天》",娱乐综艺,2085,3446,"210.39","6.05","3.66","1.65"
285482,"江湖正道",电视剧,2085,27044,"12371.73","356.02","27.45","12.97"
280809,"实拍薄熙来案宣判现场 一审被判无期",生活纪实,2083,2580,"503.44","14.50","11.71","1.24"
203301,"超能特工狗",海外电影,2078,3225,"1871.71","54.04","34.82","1.55"
44646,"盖亚奥特曼",少儿,2075,14456,"2498.05","72.23","10.37","6.97"
80674,"神兽金刚",少儿,2074,28973,"4115.30","119.05","8.52","13.97"
88226,"猫狗大战2",海外电影,2071,3115,"1523.65","44.14","29.35","1.50"
19867,"人在囧途",华语电影,2069,3607,"1985.09","57.57","33.02","1.74"
44443,"兔年顶呱呱",少儿,2065,6274,"2947.04","85.63","28.18","3.04"
120757,"画皮2 3D",NULL,2056,3558,"1070.80","31.25","18.06","1.73"
330363,"同在屋檐下",电视剧,2055,26389,"12016.34","350.84","27.32","12.84"
178615,"海绵宝宝历险记",少儿,2051,4416,"1697.37","49.65","23.06","2.15"
280927,"诡魇",华语电影,2049,2866,"1764.43","51.67","36.94","1.40"
277293,"杀戮季节",海外电影,2045,2880,"1757.27","51.56","36.61","1.41"
44336,"超银河传说",少儿,2043,5770,"2712.38","79.66","28.21","2.82"
258444,"别跟我谈高富帅",华语电影,2043,3020,"2189.87","64.31","43.51","1.48"
276642,"僵尸猎手",海外电影,2042,2889,"1475.31","43.35","30.64","1.41"
268345,"薄熙来自辩90分钟 曝王谷二人如胶似漆",生活纪实,2040,2813,"176.80","5.20","3.77","1.38"
338324,"Nine Muses - Gun",音乐,2040,2586,"104.81","3.08","2.43","1.27"
246724,"铁血玫瑰",电视剧,2039,23766,"11128.72","327.48","28.10","11.66"
223390,"李馨巧《Someone Like You》",音乐,2038,3086,"140.62","4.14","2.73","1.51"
44306,"甜心格格",少儿,2036,31056,"6524.43","192.27","12.61","15.25"
157565,"黑蛇呻吟",海外电影,2018,3036,"1270.19","37.77","25.10","1.50"
81933,"危险性游戏3",海外电影,2017,3588,"1080.09","32.13","18.06","1.78"
230447,"苏打绿《我好想你》",音乐,2009,4110,"286.33","8.55","4.18","2.05"
44723,"电击小子",少儿,2001,25020,"5408.46","162.17","12.97","12.50"
272447,"暗花",电视剧,1999,20557,"8893.67","266.94","25.96","10.28"
216642,"尖刀战士",电视剧,1997,18962,"9546.88","286.84","30.21","9.50"
210338,"叶问：终极一战",华语电影,1991,2951,"2075.45","62.55","42.20","1.48"
220252,"包青天之开封奇案",电视剧,1988,25047,"8811.65","265.95","21.11","12.60"
124526,"变形金刚",海外电影,1987,4234,"1773.22","53.54","25.13","2.13"
261112,"凤凰传奇《荷塘月色》",音乐,1987,4263,"213.25","6.44","3.00","2.15"
202852,"逆世界",海外电影,1978,3040,"1689.00","51.23","33.34","1.54"
217148,"史上最聪明的切西瓜方法",NULL,1977,2538,"160.26","4.86","3.79","1.28"
334873,"六颗子弹",海外电影,1977,2644,"2092.81","63.51","47.49","1.34"
117117,"超决战！贝利亚银河帝国",少儿,1976,5025,"2164.04","65.71","25.84","2.54"
266279,"8号囚室",海外电影,1971,2705,"230.53","7.02","5.11","1.37"
141393,"二次曝光",华语电影,1964,2800,"1763.36","53.87","37.79","1.43"
44348,"奇思妙想喜羊羊",少儿,1963,17591,"2926.17","89.44","9.98","8.96"
237847,"快乐大本营之文章展现武星魅力",NULL,1953,4121,"1930.16","59.30","28.10","2.11"
231998,"Dal Shabet《看看我的腿》",音乐,1952,2936,"136.68","4.20","2.79","1.50"
108920,"黑猫警长",少儿,1951,11801,"2432.92","74.82","12.37","6.05"
334121,"Trouble Maker19禁新单《没有明天》",音乐,1950,2761,"130.93","4.03","2.85","1.42"
67967,"我是特种兵",电视剧,1949,13182,"4178.09","128.62","19.02","6.76"
258149,"蜂鸟",海外电影,1944,2854,"2217.75","68.45","46.62","1.47"
265324,"结婚那件事",海外电影,1944,2645,"1636.07","50.50","37.11","1.36"
246971,"寿司女孩",海外电影,1938,2606,"1103.74","34.17","25.41","1.34"
170980,"太极2:英雄崛起",华语电影,1928,2871,"1835.56","57.12","38.36","1.49"
217122,"陈奕迅《海阔天空》",音乐,1928,2918,"115.18","3.58","2.37","1.51"
19212,"僵尸先生",华语电影,1924,3707,"2607.63","81.32","42.21","1.93"
329929,"致命闪玩",华语电影,1922,2542,"969.21","30.26","22.88","1.32"
68408,"逆战",华语电影,1920,3196,"1730.93","54.09","32.50","1.66"
216998,"朵拉的生日大冒险",少儿,1917,5965,"2165.68","67.78","21.78","3.11"
46863,"爱情公寓2",电视剧,1916,22736,"6372.28","199.55","16.82","11.87"
223726,"上阵焃子兵",电视剧,1915,21874,"7770.79","243.47","21.32","11.42"
275385,"Secret《Love Is Move》",音乐,1914,2920,"134.23","4.21","2.76","1.53"
123702,"死亡飞车",海外电影,1908,2934,"2025.01","63.68","41.41","1.54"
223313,"吴莫愁《就现在》",音乐,1908,3872,"210.90","6.63","3.27","2.03"
258762,"《一夜惊喜》徐峥特辑",NULL,1905,2598,"41.46","1.31","0.96","1.36"
197655,"通俗喜剧",华语电影,1903,2581,"1127.86","35.56","26.22","1.36"
329239,"X战警3：背水一战",海外电影,1898,2716,"2030.52","64.19","44.86","1.43"
269652,"兔小贝故事",少儿,1897,37482,"1258.77","39.81","2.02","19.76"
258310,"Secret 《Madonna》",音乐,1896,2773,"124.75","3.95","2.70","1.46"
64061,"大魔术师",华语电影,1895,2934,"2336.96","73.99","47.79","1.55"
222265,"小马宝莉",NULL,1894,39143,"8460.32","268.01","12.97","20.67"
341684,"BESTie《扑通扑通》",音乐,1892,2306,"97.06","3.08","2.53","1.22"
253334,"神偷奶爸 3D",少儿,1887,2909,"900.60","28.64","18.58","1.54"
288757,"凤凰传奇《御龙归字谣》",音乐,1884,2911,"171.44","5.46","3.53","1.55"
227169,"史前巨鳄最终章",海外电影,1876,2740,"1349.42","43.16","29.55","1.46"
204974,"王菲《致青春》",音乐,1874,2918,"145.41","4.66","2.99","1.56"
281274,"《弯刀杀戮》限制级预告 辣妞挺胸喷火干掉爷们",NULL,1873,2407,"64.20","2.06","1.60","1.29"
339124,"《私人订制》女神特辑 白百何李小璐双姝争艳",NULL,1872,2323,"134.34","4.31","3.47","1.24"
330037,"全能星战民歌之夜 龚琳娜“逆袭”",娱乐综艺,1867,2681,"1864.62","59.92","41.73","1.44"
274244,"昆塔盒子总动员",少儿,1866,3100,"948.51","30.50","18.36","1.66"
249305,"变身超人",华语电影,1859,3077,"1360.74","43.92","26.53","1.66"
339409,"无人区黄渤徐峥再联手巅疯贺岁",华语电影,1859,2190,"82.25","2.65","2.25","1.18"
99380,"偷情许可证",海外电影,1851,3252,"1133.50","36.74","20.91","1.76"
110628,"独眼巨人",海外电影,1847,2524,"987.97","32.09","23.49","1.37"
20332,"文雀",华语电影,1846,2320,"1443.13","46.91","37.32","1.26"
329298,"逗逗迪迪 汉字小侦探",少儿,1846,25583,"3263.29","106.07","7.65","13.86"
150843,"钢铁侠",海外电影,1839,3184,"1787.49","58.32","33.68","1.73"
182335,"猪猪侠之幸福救援队",少儿,1835,18331,"2804.09","91.69","9.18","9.99"
223036,"小美人鱼",少儿,1827,7089,"1411.52","46.36","11.95","3.88"
234941,"Girls Day《女总统》",音乐,1824,2987,"131.55","4.33","2.64","1.64"
165922,"女子冒充演员卖淫",NULL,1821,2372,"153.54","5.06","3.88","1.30"
225358,"大叔，我爱你",华语电影,1819,2546,"2099.56","69.25","49.48","1.40"
235557,"疯狂原始人",少儿,1818,2960,"1332.39","43.97","27.01","1.63"
20000,"唐伯虎点秋香",华语电影,1816,2879,"1744.82","57.65","36.36","1.59"
124354,"指环王3:王者无敌",海外电影,1815,2888,"1755.57","58.04","36.47","1.59"
252029,"毒火线",海外电影,1813,2536,"1625.51","53.80","38.46","1.40"
326295,"《地心引力》特辑 年度高口碑科幻大片",NULL,1810,2237,"98.58","3.27","2.64","1.24"
335374,"《X战警前传2》中文预告 豪华阵容范爷亮相",NULL,1809,2092,"81.09","2.69","2.33","1.16"
170560,"金泫雅《Bubble Pop》",音乐,1808,2930,"150.08","4.98","3.07","1.62"
93301,"曲婉婷《我的歌声里》",音乐,1804,2993,"156.91","5.22","3.15","1.66"
254262,"Tahiti《Love Sick》",音乐,1802,3017,"139.00","4.63","2.76","1.67"
109038,"卑鄙的我：香蕉",少儿,1795,3188,"171.27","5.72","3.22","1.78"
144719,"罗宾汉和他的机灵鼠",少儿,1794,3618,"1390.47","46.50","23.06","2.02"
19480,"跟我的前妻谈恋爱",华语电影,1788,2572,"1732.54","58.14","40.42","1.44"
328275,"异能感应",海外电影,1779,2627,"1282.89","43.27","29.30","1.48"
332122,"正义联盟",华语电影,1779,2290,"1020.48","34.42","26.74","1.29"
167774,"异星战场",海外电影,1778,2734,"1509.57","50.94","33.13","1.54"
222266,"同谋",华语电影,1776,2647,"1901.22","64.23","43.10","1.49"
44314,"赛尔号-寻找凤凰神兽",少儿,1775,4315,"1447.22","48.92","20.12","2.43"
